id,name,address,zip,latitude,longitude,star,review_count,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15
4tzmCT04wTAbbiZFKo2cPQ,"Discount Tire Store - Las Vegas, NV",3830 Blue Diamond Rd,89139,36.0418002,-115.1906076,4.5,125,Wheel & Rim Repair,Automotive,Tires,Auto Parts & Supplies,,,,,,,,,,,
piGQNN6ECbSC0agHhvoVeg,Luxy Nail Salon,9310 S Eastern Ave,89123,36.01947464,-115.1173854,4,221,Beauty & Spas,Nail Salons,,,,,,,,,,,,,
gMUAn6xcuE-TbY1seFw_Ww,Presto Calzone Bakery,"7501 N Cimarron Rd, Ste 108",89131,36.29733,-115.270268,4.5,132,Desserts,Food,Pizza,Restaurants,Bakeries,,,,,,,,,,
3X7dy9FD3fQ8fQ-WBBzDMw,Freakin' Frog,4700 S Maryland Pkwy,89119,36.103953,-115.136215,4,165,Nightlife,Arts & Entertainment,Music Venues,Bars,Pubs,,,,,,,,,,
kJl3l4fSa2spv_Mkhgogmg,Ito'y Sariling Atin,"2620 S Maryland Pkwy, Ste 176",89109,36.14303557,-115.1370594,3.5,103,Filipino,Restaurants,,,,,,,,,,,,,
Pob7ibbNT29--69nxXEP2g,The Chandelier,"The Cosmopolitan Of Las Vegas, 3708 Las Vegas Blvd S",89109,36.11008368,-115.173179,4,904,Bars,Nightlife,Lounges,,,,,,,,,,,,
KaGZE0_o1EmmSN4Fo_cpUw,Public House,3900 Las Vegas Blvd S,89119,36.09541517,-115.1749703,3,198,Nightlife,Food,American (Traditional),Restaurants,Sports Bars,Burgers,Bars,Beer,Wine & Spirits,,,,,,
jpKWhKMWlOpTH14XW-NwQQ,Drai's Beach Club,"The Cromwell Las Vegas Resort & Casino, 3595 Las Vegas Boulevard South",89109,36.1149405,-115.1720257,3.5,174,Swimming Pools,Active Life,,,,,,,,,,,,,
_pBXtjN43eqMV0XZTz7nmw,Surrender Nightclub,3131 Las Vegas Blvd S,89109,36.12688413,-115.1670143,3.5,794,Dance Clubs,Nightlife,,,,,,,,,,,,,
tstimHoMcYbkSC4eBA1wEg,Mama Maria's Mexican Restaurant,6055 E Lake Mead Blvd,89156,36.1955918,-115.04046,4.5,120,Restaurants,Mexican,,,,,,,,,,,,,
QC_KrEEakL-baYfnTXw2FQ,Wireless Doctor Computer Solutions,"7377 S. Jones Ave., Ste 111",89139,36.0552438,-115.2258702,4,107,Electronics Repair,Local Services,Computers,Mobile Phone Repair,Professional Services,IT Services & Computer Repair,Shopping,,,,,,,,
f9sU31meK0bqAD7922sCog,Sage,3732 Las Vegas Blvd S,89109,36.10819232,-115.1760135,4,917,Mediterranean,Restaurants,American (New),,,,,,,,,,,,
Do4n_yK_K6DmR9_Es5qwlA,Drugstore Cafe,3131 Las Vegas Blvd S,89109,36.1265953,-115.1653652,3.5,148,Restaurants,Desserts,Coffee & Tea,Food,Sandwiches,Delis,Cafes,,,,,,,,
5iSmZO0SrKU6EoXK_1M8Kw,Monte Carlo Hotel And Casino,3770 Las Vegas Blvd S,89109,36.1051256,-115.1752326,3,2080,Event Planning & Services,Hotels & Travel,Resorts,Hotels,Casinos,Arts & Entertainment,,,,,,,,,
xkVMIk_Vqh17f48ZQ_6b0w,Tom Colicchio's Craftsteak,3799 Las Vegas Blvd S,89109,36.102918,-115.169751,4,1915,Steakhouses,Restaurants,Cheesesteaks,Food,American (New),Desserts,,,,,,,,,
XlUuMGMvkzy_QLAUTEe-fw,Dumpling King,5740 Spring Mountain Rd,89146,36.1260788,-115.2198304,3.5,120,Restaurants,Szechuan,Chinese,Halal,Dim Sum,,,,,,,,,,
d4qwVw4PcN-_2mK2o1Ro1g,Pink Taco,"Hard Rock Hotel & Casino, 4455 Paradise Rd",89169,36.1100828,-115.1538714,3.5,841,Mexican,Restaurants,,,,,,,,,,,,,
AiwkoTWc1egLYauiZ3SC2A,"Dana Forte, DO - Forte Family Practice",9010 W Cheyenne Ave,89129,36.218884,-115.292938,2,118,Health & Medical,Pediatricians,Family Practice,Doctors,,,,,,,,,,,
4k3RlMAMd46DZ_JyZU0lMg,Ramen Sora,4490 Spring Mountain Rd,89102,36.1265262,-115.2017756,4,1008,Japanese,Restaurants,Ramen,Noodles,,,,,,,,,,,
Po0QGzgwFrfnGJEi_akCjA,Korean Garden BBQ House,4355 Spring Mountain Rd,89102,36.125908,-115.197904,3,260,Korean,Barbeque,Restaurants,,,,,,,,,,,,
YCEZLECK9IToE8Mysorbhw,Daily Kitchen Modern Eatery and Rotisserie,"3645 S Town Center Dr, Ste 102",89135,36.1242687,-115.3254095,3.5,143,Breakfast & Brunch,American (New),Restaurants,,,,,,,,,,,,
eKVCZlOkvf7gsHazOX_dLQ,The Jungle Zone,3655 S Durango Dr,89147,36.1232761,-115.2796896,5,153,Tattoo,Shopping,Piercing,Beauty & Spas,Tobacco Shops,,,,,,,,,,
h3pMMRwqBjMeMtk0_qQzRQ,Mezzo Bistro and Wine,"4275 N Rancho Dr, Ste 130",89130,36.2371812,-115.2311905,3.5,332,Italian,Restaurants,,,,,,,,,,,,,
6xgcHeLad-VaoTIQewK84A,N9NE Steakhouse,4321 W Flamingo Rd,89103,36.11475,-115.1941,4,800,Steakhouses,Restaurants,American (Traditional),Seafood,,,,,,,,,,,
