date,star1,star2,star3,star4,star5
2014-09,2,2,0,2,0
2014-08,12,5,2,11,8
2014-05,3,4,1,10,10
2014-04,6,0,4,7,8
2014-07,2,3,0,4,3
2014-06,9,6,5,12,16
2014-01,0,0,0,10,15
2014-03,4,0,0,9,7
2014-02,2,0,1,2,2
2010-01,0,0,1,6,2
2010-03,0,2,0,7,0
2010-02,0,0,2,5,3
2013-08,2,0,4,4,2
2010-04,0,0,0,4,4
2010-07,0,0,0,1,1
2010-06,0,2,1,9,4
2015-11,0,4,4,2,8
2010-08,0,0,0,5,7
2013-06,1,0,1,0,1
2015-12,2,6,0,9,7
2013-01,4,2,2,12,10
2013-02,5,0,6,11,3
2013-03,0,1,1,11,5
2012-07,10,4,4,7,7
2010-10,0,2,0,4,0
2010-11,0,0,0,2,1
2015-06,4,5,3,6,18
2015-07,3,0,1,3,0
2015-04,6,3,5,14,8
2015-05,5,0,0,3,12
2015-02,7,2,4,6,3
2015-03,2,5,4,6,7
2015-01,1,1,1,4,5
2014-12,11,0,4,9,5
2014-10,4,7,4,8,3
2014-11,7,2,2,2,6
2011-11,0,1,0,1,1
2011-10,2,0,2,10,10
2015-08,4,1,1,9,18
2011-12,1,0,2,3,5
2012-09,1,0,1,7,2
2012-08,1,0,0,3,1
2012-03,0,0,0,1,2
2012-02,0,1,0,1,0
2012-01,2,0,2,1,1
2010-12,0,0,0,3,2
2012-06,1,2,0,2,0
2012-05,4,3,2,8,5
2012-04,1,0,0,3,0
2016-07,10,2,0,5,9
2016-06,9,4,8,6,9
2016-05,3,1,0,2,2
2016-04,4,0,1,2,0
2016-03,6,0,2,10,3
2016-02,3,1,1,3,0
2016-01,5,2,9,5,10
2010-05,0,0,1,2,1
2016-09,10,2,4,8,3
2013-09,4,2,8,2,7
2011-08,2,0,1,4,2
2011-09,0,0,2,1,1
2011-02,0,1,0,8,7
2011-03,0,0,1,12,5
2011-01,0,0,0,0,1
2011-06,2,0,2,3,8
2011-07,0,0,0,2,0
2011-04,0,1,2,2,10
2011-05,0,1,0,0,0
2013-04,4,4,4,2,0
2015-10,3,3,2,8,5
2012-10,0,1,2,7,9
2012-11,0,0,0,0,2
2012-12,0,1,2,7,5
2013-07,1,2,0,3,0
2006-12,0,0,0,2,0
2007-03,0,0,0,6,2
2007-04,0,0,0,2,0
2007-07,0,0,0,1,6
2016-10,1,1,0,0,2
2016-11,1,0,0,3,0
2016-12,1,0,0,2,2
2007-12,0,0,0,0,2
2007-10,0,0,0,0,6
2007-11,0,0,0,1,0
2008-12,0,2,0,4,9
2008-11,0,0,1,6,5
2008-10,0,0,0,0,4
2016-08,4,5,3,2,2
2008-08,0,0,0,0,1
2008-09,0,2,2,4,11
2008-02,0,0,0,0,5
2008-03,0,0,0,0,2
2008-04,0,0,0,0,4
2008-05,0,0,0,0,2
2008-06,0,0,0,4,0
2008-07,0,0,0,6,8
2006-08,0,0,0,2,0
2006-09,0,2,0,0,0
2009-06,0,0,1,1,1
2009-05,0,0,0,2,0
2009-03,0,0,2,1,0
2009-02,0,0,1,0,2
2009-01,1,0,0,4,2
2009-09,0,0,0,0,4
2009-08,0,2,0,4,4
2015-09,2,1,0,1,1
2013-12,2,0,2,12,6
2013-11,0,2,3,6,8
2013-10,2,2,4,9,7
2013-05,0,1,1,1,2
2017-01,3,6,5,5,6
2009-10,0,0,0,2,0
2009-11,0,0,0,3,0
2009-12,0,0,2,0,4
