date,star1,star2,star3,star4,star5
2014-09,1,2,3,1,8
2014-08,1,5,11,45,40
2014-05,1,4,3,4,8
2014-04,0,0,3,7,7
2014-07,0,1,4,7,10
2014-06,0,1,2,8,9
2014-01,0,2,6,9,4
2014-03,0,0,2,2,1
2014-02,0,3,3,3,9
2010-01,0,0,0,4,6
2010-03,0,1,0,15,29
2010-02,0,0,0,1,4
2013-08,0,2,3,7,16
2013-09,1,1,3,5,10
2010-07,0,0,1,17,20
2010-06,0,1,2,16,44
2010-09,0,1,2,6,8
2013-05,0,7,8,32,32
2013-06,0,0,3,9,9
2013-07,3,1,14,42,53
2013-01,0,2,6,13,17
2013-02,0,2,3,5,4
2013-03,0,4,7,11,6
2010-12,0,2,11,29,29
2010-10,0,1,0,5,11
2012-04,1,3,14,36,45
2015-06,0,2,3,7,9
2015-07,2,0,0,9,12
2015-04,0,1,0,2,10
2015-05,0,1,2,6,4
2015-02,1,0,2,1,5
2015-03,1,1,3,4,5
2015-01,0,0,2,3,8
2014-12,1,0,5,4,5
2014-10,0,3,4,4,5
2014-11,1,2,3,5,7
2011-11,0,1,4,6,11
2011-10,0,1,4,29,56
2015-08,4,2,12,22,40
2011-12,0,1,3,10,17
2012-09,0,1,2,6,13
2012-08,0,4,8,37,64
2012-03,0,0,10,17,39
2012-02,0,1,6,11,16
2012-01,0,0,5,20,21
2012-07,0,2,17,41,63
2012-06,0,1,7,13,15
2012-05,0,1,3,7,11
2010-11,0,0,2,10,13
2016-07,0,1,5,11,26
2016-06,1,0,5,9,42
2016-05,0,0,2,2,6
2016-04,0,2,1,2,7
2016-03,4,0,0,15,28
2016-02,3,3,5,18,30
2016-01,2,5,20,14,21
2010-05,0,0,0,1,3
2016-09,0,0,4,3,4
2016-08,0,0,2,2,5
2011-08,2,1,17,40,85
2011-09,0,0,13,33,76
2011-02,0,0,1,7,14
2011-03,0,1,5,31,48
2011-01,1,1,4,7,24
2011-06,0,0,1,16,19
2011-07,0,0,2,16,23
2011-04,0,0,1,10,21
2011-05,0,0,2,9,13
2015-11,1,2,5,14,17
2010-08,0,6,6,28,43
2012-10,0,2,1,7,12
2012-11,0,0,4,29,35
2012-12,2,4,18,25,34
2015-12,1,0,3,5,5
2016-10,3,0,1,8,6
2016-11,0,0,1,2,1
2016-12,0,0,0,2,6
2007-12,0,0,1,0,0
2008-12,0,0,0,0,1
2008-10,0,0,0,5,0
2008-08,0,0,0,0,2
2008-01,0,0,0,2,6
2008-03,0,0,2,4,11
2008-04,0,1,0,1,0
2008-05,0,0,0,6,0
2008-06,0,0,0,2,0
2010-04,0,0,0,5,6
2015-10,0,0,1,1,4
2009-07,0,0,0,2,0
2009-06,0,0,0,2,0
2009-05,0,0,0,7,2
2009-04,0,2,0,1,0
2009-03,0,0,0,2,0
2009-02,0,0,1,3,5
2009-01,0,0,2,1,10
2009-09,0,0,1,5,9
2009-08,0,0,0,2,0
2013-04,0,1,13,19,56
2015-09,0,2,2,2,6
2013-12,0,0,2,8,10
2013-11,0,0,2,3,8
2013-10,0,0,4,3,9
2017-01,0,0,0,0,4
2009-10,0,2,1,5,3
2009-11,0,0,0,11,4
2009-12,0,0,0,3,9
