date,star1,star2,star3,star4,star5
2014-09,2,2,0,9,9
2014-08,2,2,2,3,7
2014-05,0,3,3,8,7
2014-04,3,2,3,4,9
2014-07,1,1,2,4,2
2014-06,3,3,2,4,6
2014-01,0,0,3,9,17
2014-03,0,2,4,11,14
2014-02,0,3,0,10,9
2010-01,0,0,1,6,8
2010-03,0,0,0,6,1
2010-02,0,0,0,7,3
2013-08,2,2,6,13,7
2013-09,2,0,1,4,5
2010-07,0,0,5,5,9
2010-06,0,0,5,10,7
2010-09,0,2,0,8,4
2010-08,0,1,1,10,8
2013-06,1,2,1,2,4
2013-07,0,1,2,11,11
2013-01,1,2,7,9,4
2013-02,0,2,2,6,14
2013-03,0,0,0,5,4
2012-07,1,1,0,1,3
2010-10,0,0,1,13,6
2010-11,0,1,0,9,10
2015-06,1,0,0,3,6
2015-07,0,3,4,6,1
2015-04,1,0,7,4,6
2015-05,1,0,2,2,3
2015-02,0,0,0,1,6
2015-03,0,4,1,4,4
2015-01,1,3,1,4,5
2014-12,1,1,2,6,2
2014-10,2,1,2,5,6
2014-11,2,2,2,4,3
2011-11,0,1,2,6,6
2011-10,0,0,1,4,4
2015-08,2,0,0,4,10
2011-12,0,3,2,8,6
2012-09,1,0,2,5,2
2012-08,0,3,4,4,1
2012-03,0,2,2,9,2
2012-02,0,2,2,7,6
2012-01,0,1,5,8,4
2010-12,1,1,1,11,9
2012-06,4,3,0,4,9
2012-05,0,1,2,4,1
2012-04,1,0,1,5,2
2016-07,0,0,2,5,5
2016-06,0,0,0,3,2
2016-05,0,0,1,1,2
2016-04,0,0,3,4,4
2016-03,0,2,3,2,6
2016-02,0,1,0,2,6
2016-01,1,0,1,3,5
2010-05,0,0,1,3,6
2016-09,0,0,0,1,4
2016-08,2,1,1,4,4
2011-08,1,1,0,12,2
2011-09,0,0,1,8,8
2011-02,1,0,3,9,6
2011-03,0,4,2,11,4
2011-01,1,0,2,7,11
2011-06,0,0,2,7,7
2011-07,0,1,2,8,14
2011-04,1,1,1,11,6
2011-05,0,2,3,7,3
2013-04,0,0,1,10,9
2015-10,0,0,2,6,10
2012-10,1,2,4,8,7
2012-11,0,0,3,1,3
2012-12,0,0,0,3,6
2007-09,0,0,0,1,8
2007-08,0,0,0,2,10
2015-12,1,0,3,3,4
2006-11,0,0,0,0,2
2007-01,0,0,0,0,6
2007-03,0,0,0,2,8
2007-02,0,0,0,2,2
2007-05,0,0,0,0,2
2007-04,0,0,1,0,3
2007-07,0,0,0,3,0
2007-06,0,2,0,2,3
2016-10,0,0,0,0,2
2016-11,0,1,2,1,1
2016-12,0,0,2,2,2
2007-12,0,0,0,1,3
2007-10,0,0,0,2,1
2007-11,0,0,0,4,7
2008-12,0,0,0,2,5
2008-11,0,1,0,1,3
2008-10,0,0,5,2,4
2008-08,1,0,0,5,0
2008-09,0,0,1,5,2
2008-01,0,0,0,6,4
2008-02,0,0,0,2,2
2008-03,2,2,3,0,3
2008-04,0,0,1,2,0
2008-05,0,0,1,2,1
2008-06,0,0,0,0,5
2008-07,0,0,0,6,9
2010-04,0,1,1,11,12
2015-11,1,1,1,1,5
2006-09,0,0,0,0,4
2009-07,0,1,3,7,11
2009-06,0,1,1,5,2
2009-05,1,1,1,5,4
2009-04,0,2,0,2,8
2009-03,1,0,2,7,4
2009-02,0,0,1,3,3
2009-01,0,2,6,4,13
2009-09,0,2,1,2,3
2009-08,0,4,1,4,2
2015-09,0,0,0,4,1
2013-12,0,1,1,5,1
2013-11,5,1,4,4,9
2013-10,0,0,0,4,2
2013-05,0,0,2,6,7
2017-01,1,0,0,4,8
2009-10,0,1,0,5,2
2009-11,0,0,0,4,4
2009-12,0,0,3,5,1
