date,star1,star2,star3,star4,star5
2014-09,7,4,6,14,7
2014-08,9,2,7,7,5
2014-05,11,8,6,19,9
2014-04,15,0,0,9,9
2014-07,11,4,6,23,16
2014-06,6,4,7,8,8
2014-01,11,3,12,12,5
2014-03,5,0,4,13,5
2014-02,8,5,3,11,7
2010-01,2,4,5,6,3
2010-03,0,2,4,4,2
2010-02,0,0,2,5,2
2013-08,4,2,14,16,6
2010-04,4,0,2,8,3
2010-07,0,2,5,4,1
2010-06,2,2,1,8,1
2013-04,1,2,6,8,7
2010-08,1,1,8,3,3
2013-06,3,8,7,12,8
2015-12,8,6,8,11,7
2013-01,1,1,8,25,4
2013-02,1,0,7,8,3
2013-03,0,2,7,5,3
2010-12,0,3,12,11,3
2010-10,0,5,5,3,3
2012-04,3,2,2,6,4
2015-06,7,0,10,13,6
2015-07,5,9,10,15,14
2015-04,5,4,3,4,6
2015-05,5,1,5,6,12
2015-02,2,4,11,8,2
2015-03,3,5,10,12,8
2015-01,10,3,11,9,10
2014-12,9,8,8,2,6
2014-10,2,4,3,8,10
2014-11,4,8,5,11,14
2011-11,2,1,5,11,5
2011-10,0,1,2,3,1
2015-08,15,5,12,14,4
2015-09,6,2,3,9,4
2012-09,0,2,4,10,7
2012-08,2,1,9,18,7
2012-03,0,3,6,12,5
2012-02,2,5,4,6,6
2012-01,1,2,7,8,8
2012-07,3,2,3,2,0
2012-06,0,2,5,13,8
2012-05,1,2,2,12,3
2010-11,0,2,7,8,6
2016-07,5,13,7,9,11
2016-06,11,4,4,7,12
2016-05,4,2,2,7,12
2016-04,1,4,2,11,14
2016-03,5,5,6,9,7
2016-02,5,0,4,15,11
2016-01,4,9,7,9,8
2010-05,0,3,2,3,1
2016-09,6,3,7,11,6
2013-09,1,3,8,10,8
2011-08,0,2,2,20,1
2011-09,0,4,7,11,3
2011-02,0,0,6,10,1
2011-03,1,3,7,12,4
2011-01,1,4,2,8,4
2011-06,1,3,6,8,2
2011-07,0,0,10,12,8
2011-04,0,3,8,14,3
2011-05,4,6,11,5,1
2010-09,0,2,5,13,2
2015-10,2,3,3,12,13
2012-10,2,1,2,2,2
2012-11,1,2,4,5,3
2012-12,2,2,4,4,2
2007-09,0,2,0,0,0
2007-08,0,0,0,2,0
2013-07,9,7,7,11,4
2007-01,0,0,0,5,0
2007-03,0,0,0,2,0
2007-02,0,0,0,1,2
2007-07,0,0,1,0,0
2007-06,0,0,1,2,0
2016-10,5,1,7,3,6
2016-11,2,5,8,5,8
2016-12,13,4,4,7,12
2007-12,0,0,2,0,0
2007-10,0,0,0,2,0
2008-12,0,2,2,8,0
2008-11,0,0,2,0,0
2008-10,2,0,2,0,0
2016-08,6,4,7,8,11
2008-08,0,2,5,2,0
2008-09,0,0,2,1,0
2008-01,0,0,2,4,2
2008-02,0,1,0,2,1
2008-03,0,1,1,1,0
2008-05,0,0,0,0,1
2008-06,2,0,2,4,0
2008-07,0,0,1,6,1
2015-11,6,4,8,16,4
2009-07,2,0,2,6,0
2009-06,0,0,0,3,0
2009-05,0,0,1,1,0
2009-04,0,2,2,4,0
2009-03,0,0,5,2,1
2009-02,0,0,2,1,0
2009-01,1,1,4,3,2
2009-09,2,0,1,3,0
2009-08,0,2,0,4,0
2011-12,2,2,4,6,3
2013-12,4,4,9,8,2
2013-11,3,3,4,16,3
2013-10,3,2,7,11,5
2013-05,2,0,6,20,5
2017-01,5,5,2,8,7
2009-10,0,0,1,2,0
2009-11,0,1,3,3,0
2009-12,0,1,3,1,1
